Name,Surname
,Navalna
,Solovyova
,Fedunkiv
,Andrusejko
,Sharova
,Tarasyuk
,Yakovenko
,Dementeva
,Miheeva
,Kravchuk
,Eryomenko
,Merkusheva
,Linnik
,Susarenko
,Marochko
,Maslovska
,Rybakova
,Golubeva
,Chikolba
,Turova
,Drozdova
,Kolobova
,Ivanenko
,Moiseenko
,Nazarova
,Kosheleva
,Kostina
,Petriv
,Borodaj
,Andruhovich
,Ponomarenko
,Nosova
,Mnogogreshna
,Romanenko
,Gamula
,Myasnikova
,Timofeeva
,Lihachyova
,Kulishenko
,Vygovska
,Vishnyakova
,Vladimirova
,Bachej
,Petrovska
,Blohina
,Yakusheva
,Saksaganska
,Batejko
,Butko
,Evdokimova
,Samojlova
,Majboroda
,Efremova
,Sharapova
,Samsonova
,Gonchar
,Shkraba
,Kopylova
,Loginova
,Lebedeva
,Avdeeva
,Ershova
,Timoshenko
,Borisenko
,Kuzmina
,Vorobyova
,Belyakova
,Teterina
,Miloslavska
,Yalova
,Gajchuk
,Kocyubinska
,Kirilenko
,Shuhevich
,Kornejchuk
,Korolyova
,Polishuk
,Shumilo
,Zaharchenko
,Valkovska
,Shashkova
,Tokar
,Kovalyova
,Zhitar
,Isakova
,Temchenko
,Kabanova
,Yacenyuk
,Mamontova
,Gureva
,Kononova
,Yarova
,Belousova
,Strelkova
,Ermakova
,Ivashenko
,Fokina
,Tkachenko
,Shufrich
,Sysoeva
