Name,Label
Belozyorova,1.0
Subbotin,1.0
isdfaf,0.0
Ershov,1.0
o32k,0.0
Efremov,1.0
sp[lp[,0.0
qqqqqq,0.0
Biryukov,1.0
Kabanov,1.0
Habarovsk,1.0
Nikonov,1.0
Andrejko,1.0
Eliseev,1.0
St.Petersburg,1.0
Avdeeva,1.0
Posidajlo,1.0
Baranova,1.0
Pavlova,1.0
Tokar,1.0
Irkutsk,1.0
zxxzxzzx,0.0
popaw,0.0
l;argkp[aerkp[,0.0
Pritula,1.0
Lanovoj,1.0
Sirko,1.0
Krasilnikova,1.0
Danilova,1.0
Butko,1.0
zzzzzz,0.0
Solovyova,1.0
Fokina,1.0
vs; jowef,0.0
psjdpsdf,0.0
Yakusheva,1.0
/1,0.0
Marochko,1.0
psopp[,0.0
dreo;apa,0.0
Pogomij,1.0
Njiasd,0.0
opsdfk,0.0
Petrenko,1.0
Shkraba,1.0
Tomsk,1.0
Krasnoyarsk,1.0
UUUUU,0.0
p[kar[k,0.0
Saint Petersburg,1.0
Rodionov,1.0
Lialin,1.0
Novosibirsk,1.0
Izhevsk,1.0
Hudobyak,1.0
uhuih213,0.0
opkopsdofk,0.0
jijjijijiij,0.0
Zimin,1.0
Loginova,1.0
Vorobyov,1.0
Kazan,1.0
Eesjakd,0.0
Pogomij,1.0
Eryomenko,1.0
Tarasova,1.0
Maksimov,1.0
ASASsad,0.0
Kuznecova,1.0
Chikolba,1.0
Shubina,1.0
;'asd,0.0
Naberezhnye Chelny,1.0
kwef,0.0
Kocyubinska,1.0
Mihajlov,1.0
opdfkop,0.0
St.Petersburg,1.0
Pasldk,0.0
Ulyanovsk,1.0
Ssadasd,0.0
Ufa,1.0
HnbnASD,0.0
Tolochko,1.0
Samara,1.0
Shepar,1.0
pkdfvk,0.0
Shestakov,1.0
asaasas,0.0
Bragina,1.0
arkp[,0.0
isjdf,0.0
opasPOD,0.0
Rostov-na-Donu,1.0
AAAA,0.0
Smirnov,1.0
Kulakov,1.0
Astrahan,1.0
Terentev,1.0
refkp[awek,0.0
sdsds,0.0
Medyanik,1.0
Medyanik,1.0
Zhukova,1.0
Bondarenko,1.0
Abramov,1.0
oui3h4io23,0.0
Lipeck,1.0
Nizhnij Novgorod,1.0
Tolyatti,1.0
Mamontov,1.0
Susarenko,1.0
Gavrilov,1.0
pasdpj,0.0
23i3ouoi1,0.0
Lavrentev,1.0
Perm,1.0
BBB,0.0
uiuu9,0.0
